Rank,country,Capital,Continent,Area (km²),Yr_1950,Yr_1960,Yr_1970,Yr_1980,Yr_1990,Yr_2000,Yr_2010,Yr_2020,Yr_2023,World Population Percentage
50,Madagascar,Antananarivo,Africa,587041,3953896,5073342,6639751,8948162,11882762,16216431,21731053,28225177,30325732,0.37
62,Malawi,Lilongwe,Africa,118484,2949739,3621081,4625141,6267369,9539665,11229387,14718422,19377061,20931751,0.26
45,Malaysia,Kuala Lumpur,Asia,330803,5972876,7833782,10306508,13215707,17517054,22945150,28717731,33199993,34308525,0.43
174,Maldives,Malé,Asia,300,74484,91650,123243,164887,224957,282507,361575,514438,521021,0.01
59,Mali,Bamako,Africa,1240192,4694916,5346792,6153587,7372581,8945026,11239101,15529181,21224040,23293698,0.28
173,Malta,Valletta,Europe,316,291873,337628,315414,333587,365392,399212,418755,515357,535064,0.01
215,Marshall Islands,Majuro,Oceania,181,13066,15374,23969,31988,46047,54224,53416,43413,41996,0
180,Martinique,Fort-de-France,North America,1128,231994,290092,326428,333786,374271,432543,392181,370391,366981,0
126,Mauritania,Nouakchott,Africa,1030700,658555,838478,1122198,1506694,2006027,2695003,3419461,4498604,4862989,0.06
157,Mauritius,Port Louis,Africa,2040,525443,676683,830115,954865,1090290,1215930,1283330,1297828,1300557,0.02
182,Mayotte,Mamoudzou,Africa,374,20544,26165,35383,52233,92659,159215,211786,305587,335995,0
10,Mexico,Mexico City,North America,1964375,27600133,36268055,50289306,67705186,81720428,97873442,112532401,125998302,128455567,1.6
194,Micronesia,Palikir,Oceania,702,161656,200558,58989,76299,98603,111709,107588,112106,544321,0
135,Moldova,Chisinau,Europe,33846,2370311,3133267,3711140,4103240,4480199,4251573,3678186,3084847,3435931,0.04
217,Monaco,Monaco,Europe,2,19729,21797,24270,27076,30329,32465,33178,36922,36297,0
134,Mongolia,Ulaanbaatar,Asia,1564110,781260,977903,1293880,1697780,2161433,2450979,2702520,3294335,3447157,0.04
169,Montenegro,Podgorica,Europe,13812,402260,473046,530268,589324,621442,633324,631044,629048,626485,0.01
230,Montserrat,Brades,North America,102,12989,12100,11402,11452,10805,5138,4938,4500,4386,0
40,Morocco,Rabat,Africa,446550,8946209,11769774,15274351,19678444,24570814,28554415,32464865,36688772,37840044,0.47
48,Mozambique,Maputo,Africa,801590,5920215,6788375,8411676,11413587,13303459,17768505,23073723,31178239,33897354,0.41
26,Myanmar,Nay Pyi Taw,Asia,676578,17731818,21720697,27284112,33465781,40099553,45538332,49390988,53423198,54577997,0.68
145,Namibia,Windhoek,Africa,825615,514774,590181,754467,975994,1369011,1819141,2099271,2489098,2604172,0.03
225,Nauru,Yaren,Oceania,21,3354,4582,6663,7635,9598,10377,10241,12315,12780,0
49,Nepal,Kathmandu,Asia,147181,8398945,10167941,12501285,15600442,19616530,24559500,27161567,29348627,30896590,0.38
71,Netherlands,Amsterdam,Europe,41850,10093554,11493117,13037686,14130387,14944548,15899135,16617116,17434557,17618299,0.22
185,New Caledonia,Nouméa,Oceania,18575,63860,81236,110982,148599,177264,221537,261426,286403,292991,0
123,New Zealand,Wellington,Oceania,270467,1911608,2381189,2824061,3147168,3397389,3855266,4346338,5061133,5228100,0.07
106,Nicaragua,Managua,North America,130373,1330442,1789684,2444767,3303309,4227820,5123222,5855734,6755895,7046310,0.09
54,Niger,Niamey,Africa,1267000,2569191,3497431,4669708,6173177,8370647,11622665,16647543,24333639,27202843,0.33
6,Nigeria,Abuja,Africa,923768,37189369,44928342,55569264,72951439,95214257,122851984,160952853,208327405,223804632,2.74
232,Niue,Alofi,Oceania,260,4485,4876,5185,3637,2533,2074,1812,1942,1935,0
56,North Korea,Pyongyang,Asia,120538,11103379,11655666,14996879,17973650,20799523,23367059,24686435,25867467,26160821,0.33
150,North Macedonia,Skopje,Europe,25713,1251433,1462368,1656783,1907023,2044174,2037936,2093828,2111072,2085679,0.03
210,Northern Mariana Islands,Saipan,Oceania,464,7063,8702,10143,17613,48002,80338,54087,49587,49796,0
120,Norway,Oslo,Europe,323802,3281416,3581520,3875546,4085776,4241636,4491202,4889741,5379839,5474360,0.07
127,Oman,Muscat,Asia,309500,457317,536553,670693,1017462,1804524,2344253,2881914,4543399,4644384,0.06
5,Pakistan,Islamabad,Asia,881912,37696264,45954226,59290872,80624057,115414069,154369924,194454498,227196741,240485658,2.96
222,Palau,Ngerulmud,Oceania,459,7430,9446,11366,12252,15293,19726,18540,17972,18058,0
128,Panama,Panama City,North America,75417,861079,1126989,1516188,1956987,2449968,3001731,3623617,4294396,4468087,0.06
93,Papua New Guinea,Port Moresby,Oceania,462840,1542854,1985666,2489059,3104788,3864972,5508297,7583269,9749640,10329931,0.13
109,Paraguay,Asunción,South America,406752,1504810,1894829,2408787,3078912,4059195,5123819,5768613,6618695,6861524,0.09
44,Peru,Lima,South America,1285216,7678967,10172207,13562371,17492406,22109099,26654439,29229572,33304756,34352719,0.43
13,Philippines,Manila,Asia,342353,18469878,28486871,37435586,48419546,61558898,77958223,94636700,112190977,117337368,1.45
37,Poland,Warsaw,Europe,312679,24786236,29509903,32482943,35521429,38064255,38504431,38597353,38428366,41026067,0.5
92,Portugal,Lisbon,Europe,92090,8416952,8882469,8683631,9785252,10007346,10300626,10588401,10298192,10247605,0.13
136,Puerto Rico,San Juan,North America,8870,2229742,2365072,2737619,3214568,3543776,3827108,3717922,3271564,3260314,0.04
143,Qatar,Doha,Asia,11586,24288,36385,118007,277450,441675,645937,1713504,2760385,2716391,0.03
64,Romania,Bucharest,Europe,238391,16392971,18458008,19922618,22125224,22836234,21919876,20335211,19442038,19892812,0.25
9,Russia,Moscow,Europe,17098242,102580107,119735095,130093010,138257420,148005704,146844839,143242599,145617329,144444359,1.81
76,Rwanda,Kigali,Africa,26338,2154218,2966162,3896367,5247532,7319962,8109989,10309031,13146362,14094683,0.17
228,Saint Barthelemy,Gustavia,North America,21,2007,2193,2417,2983,5168,7082,8988,10681,10994,0
190,Saint Lucia,Castries,North America,616,86695,91614,103090,121633,142301,159500,170935,179237,180251,0
220,Saint Martin,Marigot,North America,53,2978,4135,5802,7776,28127,29610,36458,32552,32077,0
188,Samoa,Apia,Oceania,2842,87951,113335,142771,164905,168186,184008,194672,214929,225681,0
